country,year,age,gender,inmigrant_count,outmigrant_count
Scotland,2002,0,all,1288,1149
Scotland,2002,1,all,2878,2668
Scotland,2002,2,all,2662,2506
Scotland,2002,3,all,2451,2314
Scotland,2002,4,all,2280,2184
Scotland,2002,5,all,2036,1972
Scotland,2002,6,all,1808,1741
Scotland,2002,7,all,1789,1721
Scotland,2002,8,all,1770,1702
Scotland,2002,9,all,1751,1713
Scotland,2002,10,all,1737,1687
Scotland,2002,11,all,1676,1571
Scotland,2002,12,all,1448,1485
Scotland,2002,13,all,1422,1411
Scotland,2002,14,all,1509,1481
Scotland,2002,15,all,1331,1309
Scotland,2002,16,all,1581,1577
Scotland,2002,17,all,2414,2496
Scotland,2002,18,all,6466,6551
Scotland,2002,19,all,7897,6332
Scotland,2002,20,all,5429,4446
Scotland,2002,21,all,4684,4630
Scotland,2002,22,all,5159,5488
Scotland,2002,23,all,5172,6312
Scotland,2002,24,all,4631,5610
Scotland,2002,25,all,4549,5184
Scotland,2002,26,all,4655,4968
Scotland,2002,27,all,4598,4804
Scotland,2002,28,all,4566,4659
Scotland,2002,29,all,4485,4528
Scotland,2002,30,all,4589,4497
Scotland,2002,31,all,4419,4415
Scotland,2002,32,all,4128,4009
Scotland,2002,33,all,3982,3851
Scotland,2002,34,all,3689,3583
Scotland,2002,35,all,3552,3420
Scotland,2002,36,all,3214,3059
Scotland,2002,37,all,3055,2922
Scotland,2002,38,all,2758,2621
Scotland,2002,39,all,2659,2632
Scotland,2002,40,all,2468,2337
Scotland,2002,41,all,2261,2172
Scotland,2002,42,all,2048,1948
Scotland,2002,43,all,1934,1876
Scotland,2002,44,all,1735,1712
Scotland,2002,45,all,1641,1572
Scotland,2002,46,all,1505,1427
Scotland,2002,47,all,1431,1333
Scotland,2002,48,all,1346,1284
Scotland,2002,49,all,1429,1307
Scotland,2002,50,all,1287,1199
Scotland,2002,51,all,1287,1138
Scotland,2002,52,all,1236,1101
Scotland,2002,53,all,1289,1108
Scotland,2002,54,all,1247,1108
Scotland,2002,55,all,1309,1136
Scotland,2002,56,all,987,843
Scotland,2002,57,all,943,805
Scotland,2002,58,all,980,815
Scotland,2002,59,all,830,693
Scotland,2002,60,all,861,702
Scotland,2002,61,all,691,587
Scotland,2002,62,all,755,649
Scotland,2002,63,all,677,583
Scotland,2002,64,all,661,575
Scotland,2002,65,all,698,588
Scotland,2002,66,all,634,563
Scotland,2002,67,all,525,473
Scotland,2002,68,all,486,419
Scotland,2002,69,all,462,413
Scotland,2002,70,all,428,372
Scotland,2002,71,all,376,333
Scotland,2002,72,all,369,335
Scotland,2002,73,all,354,310
Scotland,2002,74,all,350,336
Scotland,2002,75,all,336,317
Scotland,2002,76,all,382,345
Scotland,2002,77,all,318,295
Scotland,2002,78,all,375,337
Scotland,2002,79,all,325,291
Scotland,2002,80,all,336,314
Scotland,2002,81,all,333,310
Scotland,2002,82,all,353,327
Scotland,2002,83,all,210,188
Scotland,2002,84,all,230,213
Scotland,2002,85,all,227,220
Scotland,2002,86,all,229,227
Scotland,2002,87,all,230,210
Scotland,2002,88,all,211,177
Scotland,2002,89,all,158,149
Scotland,2002,90,all,735,699
Scotland,2003,0,all,1236,1067
Scotland,2003,1,all,2844,2671
