country,year,age,gender,inmigrant_count,outmigrant_count
Scotland,2002,0,all,377,238
Scotland,2002,1,all,892,682
Scotland,2002,2,all,825,669
Scotland,2002,3,all,785,648
Scotland,2002,4,all,715,619
Scotland,2002,5,all,656,592
Scotland,2002,6,all,605,538
Scotland,2002,7,all,618,550
Scotland,2002,8,all,601,533
Scotland,2002,9,all,551,513
Scotland,2002,10,all,557,507
Scotland,2002,11,all,542,437
Scotland,2002,12,all,416,453
Scotland,2002,13,all,420,409
Scotland,2002,14,all,431,403
Scotland,2002,15,all,320,298
Scotland,2002,16,all,362,358
Scotland,2002,17,all,457,539
Scotland,2002,18,all,955,1040
Scotland,2002,19,all,2942,1377
Scotland,2002,20,all,2184,1201
Scotland,2002,21,all,1353,1299
Scotland,2002,22,all,1525,1854
Scotland,2002,23,all,1545,2685
Scotland,2002,24,all,1464,2443
Scotland,2002,25,all,1390,2025
Scotland,2002,26,all,1510,1823
Scotland,2002,27,all,1460,1666
Scotland,2002,28,all,1447,1540
Scotland,2002,29,all,1448,1491
Scotland,2002,30,all,1462,1370
Scotland,2002,31,all,1301,1297
Scotland,2002,32,all,1263,1144
Scotland,2002,33,all,1253,1122
Scotland,2002,34,all,1179,1073
Scotland,2002,35,all,1108,976
Scotland,2002,36,all,1020,865
Scotland,2002,37,all,962,829
Scotland,2002,38,all,889,752
Scotland,2002,39,all,830,803
Scotland,2002,40,all,795,664
Scotland,2002,41,all,721,632
Scotland,2002,42,all,641,541
Scotland,2002,43,all,587,529
Scotland,2002,44,all,485,462
Scotland,2002,45,all,515,446
Scotland,2002,46,all,482,404
Scotland,2002,47,all,459,361
Scotland,2002,48,all,413,351
Scotland,2002,49,all,461,339
Scotland,2002,50,all,399,311
Scotland,2002,51,all,416,267
Scotland,2002,52,all,429,294
Scotland,2002,53,all,462,281
Scotland,2002,54,all,432,293
Scotland,2002,55,all,485,312
Scotland,2002,56,all,382,238
Scotland,2002,57,all,344,206
Scotland,2002,58,all,378,213
Scotland,2002,59,all,305,168
Scotland,2002,60,all,326,167
Scotland,2002,61,all,269,165
Scotland,2002,62,all,270,164
Scotland,2002,63,all,262,168
Scotland,2002,64,all,236,150
Scotland,2002,65,all,276,166
Scotland,2002,66,all,217,146
Scotland,2002,67,all,163,111
Scotland,2002,68,all,169,102
Scotland,2002,69,all,151,102
Scotland,2002,70,all,129,73
Scotland,2002,71,all,138,95
Scotland,2002,72,all,121,87
Scotland,2002,73,all,108,64
Scotland,2002,74,all,97,83
Scotland,2002,75,all,94,75
Scotland,2002,76,all,118,81
Scotland,2002,77,all,85,62
Scotland,2002,78,all,98,60
Scotland,2002,79,all,93,59
Scotland,2002,80,all,89,67
Scotland,2002,81,all,91,68
Scotland,2002,82,all,103,77
Scotland,2002,83,all,57,35
Scotland,2002,84,all,54,37
Scotland,2002,85,all,48,41
Scotland,2002,86,all,50,48
Scotland,2002,87,all,54,34
Scotland,2002,88,all,52,18
Scotland,2002,89,all,30,21
Scotland,2002,90,all,138,102
Scotland,2003,0,all,390,221
Scotland,2003,1,all,880,707
Scotland,2003,2,all,778,647
Scotland,2003,3,all,754,622
Scotland,2003,4,all,648,593
Scotland,2003,5,all,610,532
Scotland,2003,6,all,615,525
Scotland,2003,7,all,585,437
Scotland,2003,8,all,573,450
Scotland,2003,9,all,604,474
Scotland,2003,10,all,531,445
Scotland,2003,11,all,543,414
Scotland,2003,12,all,482,432
Scotland,2003,13,all,450,401
Scotland,2003,14,all,397,399
Scotland,2003,15,all,386,340
