"sex","la","year","e50","e65","e80"
"female","E06000001",2001,NA,NA,NA
"female","E06000001",2002,79.4786821705426,81.5423728813559,85.7908496732026
"female","E06000001",2003,78.7331932773109,80.8422273781903,86.3441295546559
"female","E06000001",2004,78.6313645621181,81.2379862700229,86.5381679389313
"female","E06000001",2005,79.4582560296846,81.5530612244898,86.2941176470588
"female","E06000001",2006,79.1455696202532,81.3186046511628,85.9734848484848
"female","E06000001",2007,79.1394422310757,81.5466666666667,86.5871886120996
"female","E06000001",2008,79.4382978723404,81.7139479905437,86.5384615384615
"female","E06000001",2009,80.052036199095,82.6151898734177,86.4109090909091
"female","E06000001",2010,79.1452784503632,81.5842391304348,86.3624454148472
"female","E06000001",2011,80.4778012684989,82.7757009345794,86.4851485148515
"female","E06000001",2012,79.7914798206278,82.4116161616162,86.9735849056604
"female","E06000001",2013,79.2543859649123,82.3208020050125,86.6840148698885
"female","E06000002",2001,NA,NA,NA
"female","E06000002",2002,79.017094017094,81.1551724137931,86.1355498721228
"female","E06000002",2003,78.6083086053413,81.3010033444816,86.2237569060773
"female","E06000002",2004,79.4319775596073,81.5332302936631,86.3553921568627
"female","E06000002",2005,79.4140401146132,81.7006369426752,86.0857843137255
"female","E06000002",2006,79.4826546003017,81.6472545757072,86.0390625
"female","E06000002",2007,79.1707670043415,81.7775974025974,86.3131313131313
"female","E06000002",2008,79.8014598540146,81.9296,86.4417475728155
"female","E06000002",2009,80.4629878869448,82.5670103092783,86.5452631578947
"female","E06000002",2010,79.9079754601227,82.3321976149915,86.7896103896104
"female","E06000002",2011,79.7099841521395,82.5663082437276,86.5406824146982
"female","E06000002",2012,79.9578651685393,82.1190108191654,86.6051401869159
"female","E06000002",2013,80.4058988764045,82.9419152276295,86.7643171806167
"female","E06000003",2001,NA,NA,NA
"female","E06000003",2002,79.3086734693878,81.7777777777778,86.4404494382023
"female","E06000003",2003,79.3618677042802,81.8299418604651,86.1391304347826
"female","E06000003",2004,79.4214876033058,81.7129770992366,86.3170163170163
"female","E06000003",2005,79.7646219686163,82,86.4357142857143
"female","E06000003",2006,79.3808864265928,81.7411402157165,86.3653395784543
"female","E06000003",2007,79.9167785234899,82.1916790490342,86.7697368421053
"female","E06000003",2008,80.4653465346535,82.5201863354037,86.5122494432071
"female","E06000003",2009,79.8072122052705,82.375,86.4794520547945
"female","E06000003",2010,79.8820895522388,82.7453625632378,86.8228155339806
"female","E06000003",2011,80.1698389458272,82.2427652733119,86.5751789976134
"female","E06000003",2012,79.8571428571429,82.6831683168317,86.8883610451306
"female","E06000003",2013,80.4567567567568,82.646449704142,87.1166306695464
"female","E06000004",2001,NA,NA,NA
"female","E06000004",2002,78.8381502890173,81.2626131953428,86.2410901467505
"female","E06000004",2003,79.3569739952719,81.9045092838196,86.0302419354839
"female","E06000004",2004,78.7237308146399,81.4090909090909,86.0321199143469
"female","E06000004",2005,79.9168490153173,81.7289940828402,86.199268738574
"female","E06000004",2006,79.6756756756757,81.8167741935484,86.255905511811
"female","E06000004",2007,79.7626918536009,82.1396866840731,86.2679611650485
"female","E06000004",2008,79.7638376383764,82.1641586867305,86.5360824742268
"female","E06000004",2009,79.4258373205742,82.0268817204301,86.3946280991736
"female","E06000004",2010,79.5994694960212,81.7935578330893,86.2358276643991
"female","E06000004",2011,79.6940581542352,82.3849431818182,86.4312114989733
"female","E06000004",2012,80.2540073982737,82.7796143250689,86.7677165354331
"female","E06000004",2013,80.5380952380952,82.5603112840467,86.6208178438662
"female","E06000005",2001,NA,NA,NA
"female","E06000005",2002,80.0861788617886,82.1347517730496,86.4005235602094
"female","E06000005",2003,80.5644859813084,82.4089068825911,86.3541666666667
