"la","year","sex","med_le_0","med_le_50","med_le_65","med_le_80"
"E06000012",2003,"male",79,79,81,86
"E06000012",2004,"female",84,84,85,88
"E06000012",2004,"male",79,80,81,86
"E06000012",2005,"female",84,85,86,89
"E06000012",2005,"male",79,80,82,87
"E06000012",2006,"female",84,85,86,89
"E06000012",2006,"male",80,81,82,87
"E06000012",2007,"female",84,85,85,89
"E06000012",2007,"male",79,80,82,87
"E06000012",2008,"female",84,85,86,89
"E06000012",2008,"male",80,81,83,87
"E06000012",2009,"female",84,85,85,89
"E06000012",2009,"male",80,81,83,87
"E06000012",2010,"female",85,85,86,89
"E06000012",2010,"male",82,82,83,87
"E06000012",2011,"female",86,86,87,90
"E06000012",2011,"male",81,82,84,88
"E06000012",2012,"female",85,86,87,89
"E06000012",2012,"male",82,83,84,87
"E06000012",2013,"female",85,85,87,89
"E06000012",2013,"male",82,83,84,87
"E06000013",2002,"female",84,84,85,88
"E06000013",2002,"male",79,80,81,87
"E06000013",2003,"female",85,86,86,89
"E06000013",2003,"male",79,80,82,86
"E06000013",2004,"female",84,85,86,88
"E06000013",2004,"male",80,80,81,87
"E06000013",2005,"female",85,85,86,88
"E06000013",2005,"male",81,81,82,86
"E06000013",2006,"female",84,85,86,89
"E06000013",2006,"male",82,82,83,87
"E06000013",2007,"female",84,84,85,89
"E06000013",2007,"male",81,82,83,87
"E06000013",2008,"female",84,85,85,89
"E06000013",2008,"male",81,82,83,87
"E06000013",2009,"female",85,85,86,89
"E06000013",2009,"male",81,82,83,87
"E06000013",2010,"female",85,85,86,89
"E06000013",2010,"male",83,84,85,88
"E06000013",2011,"female",86,86,87,89
"E06000013",2011,"male",82,82,83,88
"E06000013",2012,"female",85,86,86,89
"E06000013",2012,"male",82,83,84,88
"E06000013",2013,"female",86,86,87,89
"E06000013",2013,"male",82,83,84,87
"E06000014",2002,"female",85,85,86,89
"E06000014",2002,"male",81,81,83,87
"E06000014",2003,"female",85,85,86,88
"E06000014",2003,"male",80,81,82,87
"E06000014",2004,"female",85,86,86,90
"E06000014",2004,"male",81,82,83,87
"E06000014",2005,"female",86,86,87,89
"E06000014",2005,"male",81,82,83,87
"E06000014",2006,"female",86,86,87,90
"E06000014",2006,"male",82,83,84,87
"E06000014",2007,"female",86,87,87,90
"E06000014",2007,"male",82,83,84,88
"E06000014",2008,"female",86,87,87,89
"E06000014",2008,"male",82,82,84,88
"E06000014",2009,"female",86,86,87,90
"E06000014",2009,"male",84,84,85,88
"E06000014",2010,"female",87,87,88,90
"E06000014",2010,"male",83,84,85,88
"E06000014",2011,"female",86,87,87,89
"E06000014",2011,"male",83,84,84,87
"E06000014",2012,"female",87,87,88,90
"E06000014",2012,"male",83,84,85,88
"E06000014",2013,"female",87,87,88,90
"E06000014",2013,"male",83,83,85,88
"E06000015",2002,"female",84,84,85,88
"E06000015",2002,"male",79,80,81,87
"E06000015",2003,"female",84,84,85,89
"E06000015",2003,"male",80,81,82,86
"E06000015",2004,"female",84,85,86,89
"E06000015",2004,"male",80,80,82,87
"E06000015",2005,"female",85,86,87,89
"E06000015",2005,"male",80,81,82,87
"E06000015",2006,"female",85,85,86,89
"E06000015",2006,"male",80,81,83,87
"E06000015",2007,"female",85,85,86,89
"E06000015",2007,"male",80,81,82,87
"E06000015",2008,"female",86,86,87,89
"E06000015",2008,"male",81,81,83,87
"E06000015",2009,"female",85,85,86,89
"E06000015",2009,"male",81,82,83,87
"E06000015",2010,"female",86,86,87,90
"E06000015",2010,"male",82,83,85,88
"E06000015",2011,"female",86,87,87,90
"E06000015",2011,"male",82,83,84,88
"E06000015",2012,"female",86,87,88,90
"E06000015",2012,"male",82,83,84,88
"E06000015",2013,"female",85,86,87,89
"E06000015",2013,"male",82,83,84,88
"E06000016",2002,"female",83,84,85,88
"E06000016",2002,"male",78,79,81,87
"E06000016",2003,"female",83,83,85,88
"E06000016",2003,"male",77,78,80,87
"E06000016",2004,"female",83,83,84,88
"E06000016",2004,"male",79,80,81,86
"E06000016",2005,"female",82,83,84,88
"E06000016",2005,"male",79,80,82,86
"E06000016",2006,"female",84,84,85,88
"E06000016",2006,"male",79,80,82,86
"E06000016",2007,"female",84,84,85,89
"E06000016",2007,"male",79,80,81,87
"E06000016",2008,"female",84,84,85,89
"E06000016",2008,"male",80,80,82,87
"E06000016",2009,"female",84,85,85,89
"E06000016",2009,"male",79,80,82,87
"E06000016",2010,"female",85,85,86,89
"E06000016",2010,"male",80,81,83,88
"E06000016",2011,"female",85,85,86,89
"E06000016",2011,"male",80,81,83,87
