"year","age","population_count","sex","region"
"1987",84,"14749","total","scotland"
"1987",84,"4068","male","scotland"
"1987",84,"10681","female","scotland"
"1987",85,"12455","total","scotland"
"1987",85,"3283","male","scotland"
"1987",85,"9172","female","scotland"
"1987",86,"10663","total","scotland"
"1987",86,"2540","male","scotland"
"1987",86,"8123","female","scotland"
"1987",87,"8923","total","scotland"
"1987",87,"1961","male","scotland"
"1987",87,"6962","female","scotland"
"1987",88,"6403","total","scotland"
"1987",88,"1342","male","scotland"
"1987",88,"5061","female","scotland"
"1987",89,"5247","total","scotland"
"1987",89,"1022","male","scotland"
"1987",89,"4225","female","scotland"
"1987",90,"16027","total","scotland"
"1987",90,"2985","male","scotland"
"1987",90,"13042","female","scotland"
"1988",0,"66230","total","scotland"
"1988",0,"34131","male","scotland"
"1988",0,"32099","female","scotland"
"1988",1,"64784","total","scotland"
"1988",1,"33098","male","scotland"
"1988",1,"31686","female","scotland"
"1988",2,"65477","total","scotland"
"1988",2,"33522","male","scotland"
"1988",2,"31955","female","scotland"
"1988",3,"64038","total","scotland"
"1988",3,"32581","male","scotland"
"1988",3,"31457","female","scotland"
"1988",4,"61931","total","scotland"
"1988",4,"31678","male","scotland"
"1988",4,"30253","female","scotland"
"1988",5,"63255","total","scotland"
"1988",5,"32337","male","scotland"
"1988",5,"30918","female","scotland"
"1988",6,"64548","total","scotland"
"1988",6,"32915","male","scotland"
"1988",6,"31633","female","scotland"
"1988",7,"66336","total","scotland"
"1988",7,"34136","male","scotland"
"1988",7,"32200","female","scotland"
"1988",8,"64896","total","scotland"
"1988",8,"33118","male","scotland"
"1988",8,"31778","female","scotland"
"1988",9,"63007","total","scotland"
"1988",9,"32537","male","scotland"
"1988",9,"30470","female","scotland"
"1988",10,"58762","total","scotland"
"1988",10,"29946","male","scotland"
"1988",10,"28816","female","scotland"
"1988",11,"58256","total","scotland"
"1988",11,"30016","male","scotland"
"1988",11,"28240","female","scotland"
"1988",12,"63247","total","scotland"
"1988",12,"32422","male","scotland"
"1988",12,"30825","female","scotland"
"1988",13,"64294","total","scotland"
"1988",13,"32715","male","scotland"
"1988",13,"31579","female","scotland"
"1988",14,"65948","total","scotland"
"1988",14,"33738","male","scotland"
"1988",14,"32210","female","scotland"
"1988",15,"71031","total","scotland"
"1988",15,"36370","male","scotland"
"1988",15,"34661","female","scotland"
"1988",16,"76260","total","scotland"
"1988",16,"38654","male","scotland"
"1988",16,"37606","female","scotland"
"1988",17,"80620","total","scotland"
"1988",17,"40827","male","scotland"
"1988",17,"39793","female","scotland"
"1988",18,"80589","total","scotland"
"1988",18,"40604","male","scotland"
"1988",18,"39985","female","scotland"
"1988",19,"83483","total","scotland"
"1988",19,"42313","male","scotland"
"1988",19,"41170","female","scotland"
"1988",20,"85540","total","scotland"
"1988",20,"43125","male","scotland"
"1988",20,"42415","female","scotland"
"1988",21,"86335","total","scotland"
"1988",21,"44118","male","scotland"
"1988",21,"42217","female","scotland"
"1988",22,"84394","total","scotland"
"1988",22,"42694","male","scotland"
"1988",22,"41700","female","scotland"
"1988",23,"87589","total","scotland"
"1988",23,"44397","male","scotland"
"1988",23,"43192","female","scotland"
"1988",24,"85585","total","scotland"
"1988",24,"43085","male","scotland"
"1988",24,"42500","female","scotland"
"1988",25,"83452","total","scotland"
"1988",25,"42068","male","scotland"
"1988",25,"41384","female","scotland"
"1988",26,"81902","total","scotland"
"1988",26,"41493","male","scotland"
"1988",26,"40409","female","scotland"
"1988",27,"81246","total","scotland"
"1988",27,"40845","male","scotland"
"1988",27,"40401","female","scotland"
"1988",28,"79201","total","scotland"
"1988",28,"39942","male","scotland"
"1988",28,"39259","female","scotland"
"1988",29,"77310","total","scotland"
"1988",29,"38624","male","scotland"
"1988",29,"38686","female","scotland"
"1988",30,"74935","total","scotland"
"1988",30,"37191","male","scotland"
"1988",30,"37744","female","scotland"
"1988",31,"72679","total","scotland"
"1988",31,"36137","male","scotland"
"1988",31,"36542","female","scotland"
"1988",32,"71521","total","scotland"
"1988",32,"35900","male","scotland"
"1988",32,"35621","female","scotland"
"1988",33,"68532","total","scotland"
"1988",33,"34094","male","scotland"
"1988",33,"34438","female","scotland"
"1988",34,"68051","total","scotland"
"1988",34,"33869","male","scotland"
"1988",34,"34182","female","scotland"
"1988",35,"66927","total","scotland"
"1988",35,"33395","male","scotland"
"1988",35,"33532","female","scotland"
"1988",36,"64624","total","scotland"
"1988",36,"31995","male","scotland"
"1988",36,"32629","female","scotland"
"1988",37,"66763","total","scotland"
"1988",37,"33280","male","scotland"
"1988",37,"33483","female","scotland"
"1988",38,"67479","total","scotland"
"1988",38,"33770","male","scotland"
"1988",38,"33709","female","scotland"
"1988",39,"70002","total","scotland"
"1988",39,"34836","male","scotland"
"1988",39,"35166","female","scotland"
"1988",40,"73009","total","scotland"
"1988",40,"36350","male","scotland"
"1988",40,"36659","female","scotland"
"1988",41,"79821","total","scotland"
"1988",41,"39757","male","scotland"
"1988",41,"40064","female","scotland"
"1988",42,"61726","total","scotland"
"1988",42,"30841","male","scotland"
"1988",42,"30885","female","scotland"
"1988",43,"59500","total","scotland"
"1988",43,"29633","male","scotland"
"1988",43,"29867","female","scotland"
"1988",44,"61896","total","scotland"
"1988",44,"30847","male","scotland"
"1988",44,"31049","female","scotland"
"1988",45,"60999","total","scotland"
"1988",45,"30110","male","scotland"
"1988",45,"30889","female","scotland"
"1988",46,"57571","total","scotland"
"1988",46,"28281","male","scotland"
"1988",46,"29290","female","scotland"
"1988",47,"54822","total","scotland"
"1988",47,"26797","male","scotland"
"1988",47,"28025","female","scotland"
"1988",48,"57115","total","scotland"
"1988",48,"27872","male","scotland"
"1988",48,"29243","female","scotland"
"1988",49,"57480","total","scotland"
"1988",49,"28086","male","scotland"
"1988",49,"29394","female","scotland"
"1988",50,"57419","total","scotland"
"1988",50,"28110","male","scotland"
"1988",50,"29309","female","scotland"
"1988",51,"56702","total","scotland"
"1988",51,"27454","male","scotland"
"1988",51,"29248","female","scotland"
"1988",52,"56263","total","scotland"
"1988",52,"27233","male","scotland"
"1988",52,"29030","female","scotland"
"1988",53,"55627","total","scotland"
"1988",53,"26883","male","scotland"
"1988",53,"28744","female","scotland"
"1988",54,"54853","total","scotland"
"1988",54,"26633","male","scotland"
"1988",54,"28220","female","scotland"
"1988",55,"54478","total","scotland"
"1988",55,"26210","male","scotland"
"1988",55,"28268","female","scotland"
"1988",56,"56350","total","scotland"
"1988",56,"26934","male","scotland"
"1988",56,"29416","female","scotland"
"1988",57,"56304","total","scotland"
"1988",57,"26819","male","scotland"
"1988",57,"29485","female","scotland"
"1988",58,"55792","total","scotland"
"1988",58,"26333","male","scotland"
"1988",58,"29459","female","scotland"
"1988",59,"54978","total","scotland"
"1988",59,"25993","male","scotland"
"1988",59,"28985","female","scotland"
"1988",60,"53644","total","scotland"
"1988",60,"25256","male","scotland"
"1988",60,"28388","female","scotland"
"1988",61,"53804","total","scotland"
"1988",61,"25235","male","scotland"
"1988",61,"28569","female","scotland"
"1988",62,"54673","total","scotland"
"1988",62,"25590","male","scotland"
"1988",62,"29083","female","scotland"
"1988",63,"52725","total","scotland"
"1988",63,"24551","male","scotland"
"1988",63,"28174","female","scotland"
"1988",64,"52259","total","scotland"
"1988",64,"24136","male","scotland"
"1988",64,"28123","female","scotland"
"1988",65,"50623","total","scotland"
"1988",65,"22960","male","scotland"
"1988",65,"27663","female","scotland"
"1988",66,"52984","total","scotland"
"1988",66,"23980","male","scotland"
"1988",66,"29004","female","scotland"
"1988",67,"52441","total","scotland"
"1988",67,"23071","male","scotland"
"1988",67,"29370","female","scotland"
"1988",68,"54510","total","scotland"
"1988",68,"23656","male","scotland"
"1988",68,"30854","female","scotland"
"1988",69,"37416","total","scotland"
"1988",69,"15853","male","scotland"
"1988",69,"21563","female","scotland"
"1988",70,"35449","total","scotland"
"1988",70,"14877","male","scotland"
"1988",70,"20572","female","scotland"
"1988",71,"37114","total","scotland"
"1988",71,"15612","male","scotland"
"1988",71,"21502","female","scotland"
"1988",72,"38194","total","scotland"
"1988",72,"15596","male","scotland"
"1988",72,"22598","female","scotland"
"1988",73,"39609","total","scotland"
"1988",73,"15955","male","scotland"
"1988",73,"23654","female","scotland"
"1988",74,"38173","total","scotland"
"1988",74,"15053","male","scotland"
"1988",74,"23120","female","scotland"
"1988",75,"35989","total","scotland"
"1988",75,"14119","male","scotland"
"1988",75,"21870","female","scotland"
"1988",76,"33505","total","scotland"
"1988",76,"12858","male","scotland"
"1988",76,"20647","female","scotland"
"1988",77,"31535","total","scotland"
"1988",77,"11641","male","scotland"
"1988",77,"19894","female","scotland"
"1988",78,"29713","total","scotland"
"1988",78,"10638","male","scotland"
"1988",78,"19075","female","scotland"
"1988",79,"27399","total","scotland"
"1988",79,"9457","male","scotland"
"1988",79,"17942","female","scotland"
"1988",80,"24938","total","scotland"
"1988",80,"8268","male","scotland"
"1988",80,"16670","female","scotland"
"1988",81,"21810","total","scotland"
"1988",81,"7031","male","scotland"
"1988",81,"14779","female","scotland"
"1988",82,"19997","total","scotland"
"1988",82,"6035","male","scotland"
"1988",82,"13962","female","scotland"
"1988",83,"17383","total","scotland"
"1988",83,"5065","male","scotland"
"1988",83,"12318","female","scotland"
"1988",84,"15208","total","scotland"
"1988",84,"4258","male","scotland"
"1988",84,"10950","female","scotland"
"1988",85,"12991","total","scotland"
"1988",85,"3448","male","scotland"
"1988",85,"9543","female","scotland"
"1988",86,"10835","total","scotland"
"1988",86,"2734","male","scotland"
"1988",86,"8101","female","scotland"
"1988",87,"9234","total","scotland"
"1988",87,"2069","male","scotland"
"1988",87,"7165","female","scotland"
"1988",88,"7512","total","scotland"
"1988",88,"1526","male","scotland"
"1988",88,"5986","female","scotland"
"1988",89,"5309","total","scotland"
"1988",89,"1040","male","scotland"
"1988",89,"4269","female","scotland"
"1988",90,"16700","total","scotland"
"1988",90,"3059","male","scotland"
"1988",90,"13641","female","scotland"
"1989",0,"64188","total","scotland"
"1989",0,"32885","male","scotland"
"1989",0,"31303","female","scotland"
"1989",1,"66224","total","scotland"
"1989",1,"34156","male","scotland"
"1989",1,"32068","female","scotland"
"1989",2,"64930","total","scotland"
"1989",2,"33129","male","scotland"
"1989",2,"31801","female","scotland"
"1989",3,"65598","total","scotland"
"1989",3,"33597","male","scotland"
"1989",3,"32001","female","scotland"
"1989",4,"64121","total","scotland"
"1989",4,"32617","male","scotland"
"1989",4,"31504","female","scotland"
"1989",5,"62004","total","scotland"
"1989",5,"31753","male","scotland"
"1989",5,"30251","female","scotland"
"1989",6,"63368","total","scotland"
"1989",6,"32376","male","scotland"
"1989",6,"30992","female","scotland"
"1989",7,"64720","total","scotland"
"1989",7,"32964","male","scotland"
"1989",7,"31756","female","scotland"
"1989",8,"66508","total","scotland"
"1989",8,"34200","male","scotland"
"1989",8,"32308","female","scotland"
"1989",9,"65053","total","scotland"
"1989",9,"33191","male","scotland"
"1989",9,"31862","female","scotland"
"1989",10,"63156","total","scotland"
"1989",10,"32602","male","scotland"
"1989",10,"30554","female","scotland"
"1989",11,"58990","total","scotland"
"1989",11,"30054","male","scotland"
"1989",11,"28936","female","scotland"
"1989",12,"58372","total","scotland"
"1989",12,"30083","male","scotland"
"1989",12,"28289","female","scotland"
"1989",13,"63270","total","scotland"
"1989",13,"32417","male","scotland"
"1989",13,"30853","female","scotland"
"1989",14,"64324","total","scotland"
"1989",14,"32719","male","scotland"
"1989",14,"31605","female","scotland"
"1989",15,"65953","total","scotland"
"1989",15,"33696","male","scotland"
"1989",15,"32257","female","scotland"
"1989",16,"70858","total","scotland"
"1989",16,"36212","male","scotland"
"1989",16,"34646","female","scotland"
"1989",17,"75722","total","scotland"
"1989",17,"38222","male","scotland"
"1989",17,"37500","female","scotland"
"1989",18,"79867","total","scotland"
"1989",18,"40295","male","scotland"
"1989",18,"39572","female","scotland"
"1989",19,"79997","total","scotland"
"1989",19,"40217","male","scotland"
"1989",19,"39780","female","scotland"
"1989",20,"82961","total","scotland"
"1989",20,"42004","male","scotland"
"1989",20,"40957","female","scotland"
"1989",21,"84756","total","scotland"
"1989",21,"42623","male","scotland"
"1989",21,"42133","female","scotland"
"1989",22,"85056","total","scotland"
"1989",22,"43389","male","scotland"
"1989",22,"41667","female","scotland"
"1989",23,"82532","total","scotland"
"1989",23,"41610","male","scotland"
"1989",23,"40922","female","scotland"
"1989",24,"85688","total","scotland"
"1989",24,"43254","male","scotland"
"1989",24,"42434","female","scotland"
"1989",25,"84220","total","scotland"
"1989",25,"42131","male","scotland"
"1989",25,"42089","female","scotland"
"1989",26,"82393","total","scotland"
"1989",26,"41211","male","scotland"
"1989",26,"41182","female","scotland"
"1989",27,"81449","total","scotland"
"1989",27,"41025","male","scotland"
"1989",27,"40424","female","scotland"
"1989",28,"80813","total","scotland"
"1989",28,"40347","male","scotland"
"1989",28,"40466","female","scotland"
"1989",29,"78871","total","scotland"
"1989",29,"39655","male","scotland"
"1989",29,"39216","female","scotland"
"1989",30,"76978","total","scotland"
"1989",30,"38285","male","scotland"
"1989",30,"38693","female","scotland"
"1989",31,"74695","total","scotland"
"1989",31,"36894","male","scotland"
"1989",31,"37801","female","scotland"
"1989",32,"72662","total","scotland"
"1989",32,"35909","male","scotland"
"1989",32,"36753","female","scotland"
"1989",33,"71372","total","scotland"
"1989",33,"35709","male","scotland"
"1989",33,"35663","female","scotland"
"1989",34,"68391","total","scotland"
"1989",34,"33928","male","scotland"
"1989",34,"34463","female","scotland"
"1989",35,"68085","total","scotland"
"1989",35,"33819","male","scotland"
"1989",35,"34266","female","scotland"
"1989",36,"66900","total","scotland"
"1989",36,"33311","male","scotland"
"1989",36,"33589","female","scotland"
"1989",37,"64602","total","scotland"
"1989",37,"31882","male","scotland"
"1989",37,"32720","female","scotland"
"1989",38,"66745","total","scotland"
"1989",38,"33224","male","scotland"
"1989",38,"33521","female","scotland"
"1989",39,"67406","total","scotland"
"1989",39,"33650","male","scotland"
"1989",39,"33756","female","scotland"
"1989",40,"69976","total","scotland"
"1989",40,"34754","male","scotland"
"1989",40,"35222","female","scotland"
"1989",41,"73019","total","scotland"
"1989",41,"36330","male","scotland"
"1989",41,"36689","female","scotland"
"1989",42,"79858","total","scotland"
"1989",42,"39748","male","scotland"
"1989",42,"40110","female","scotland"
"1989",43,"61764","total","scotland"
"1989",43,"30840","male","scotland"
"1989",43,"30924","female","scotland"
"1989",44,"59485","total","scotland"
"1989",44,"29623","male","scotland"
"1989",44,"29862","female","scotland"
"1989",45,"61784","total","scotland"
"1989",45,"30723","male","scotland"
"1989",45,"31061","female","scotland"
"1989",46,"60880","total","scotland"
"1989",46,"30021","male","scotland"
"1989",46,"30859","female","scotland"
"1989",47,"57503","total","scotland"
"1989",47,"28219","male","scotland"
"1989",47,"29284","female","scotland"
"1989",48,"54714","total","scotland"
"1989",48,"26703","male","scotland"
"1989",48,"28011","female","scotland"
"1989",49,"57014","total","scotland"
"1989",49,"27808","male","scotland"
"1989",49,"29206","female","scotland"
"1989",50,"57310","total","scotland"
"1989",50,"27956","male","scotland"
"1989",50,"29354","female","scotland"
"1989",51,"57215","total","scotland"
"1989",51,"27962","male","scotland"
"1989",51,"29253","female","scotland"
"1989",52,"56529","total","scotland"
"1989",52,"27314","male","scotland"
"1989",52,"29215","female","scotland"
"1989",53,"56064","total","scotland"
"1989",53,"27111","male","scotland"
"1989",53,"28953","female","scotland"
"1989",54,"55445","total","scotland"
"1989",54,"26743","male","scotland"
"1989",54,"28702","female","scotland"
"1989",55,"54605","total","scotland"
"1989",55,"26430","male","scotland"
"1989",55,"28175","female","scotland"
"1989",56,"54122","total","scotland"
"1989",56,"25983","male","scotland"
"1989",56,"28139","female","scotland"
"1989",57,"55970","total","scotland"
"1989",57,"26661","male","scotland"
"1989",57,"29309","female","scotland"
"1989",58,"55887","total","scotland"
"1989",58,"26571","male","scotland"
"1989",58,"29316","female","scotland"
"1989",59,"55364","total","scotland"
"1989",59,"26047","male","scotland"
"1989",59,"29317","female","scotland"
"1989",60,"54468","total","scotland"
"1989",60,"25659","male","scotland"
"1989",60,"28809","female","scotland"
"1989",61,"53136","total","scotland"
"1989",61,"24929","male","scotland"
"1989",61,"28207","female","scotland"
"1989",62,"53141","total","scotland"
"1989",62,"24797","male","scotland"
"1989",62,"28344","female","scotland"
"1989",63,"53877","total","scotland"
"1989",63,"25128","male","scotland"
"1989",63,"28749","female","scotland"
"1989",64,"51916","total","scotland"
"1989",64,"24028","male","scotland"
"1989",64,"27888","female","scotland"
"1989",65,"51287","total","scotland"
"1989",65,"23550","male","scotland"
"1989",65,"27737","female","scotland"
"1989",66,"49667","total","scotland"
"1989",66,"22382","male","scotland"
"1989",66,"27285","female","scotland"
"1989",67,"51744","total","scotland"
"1989",67,"23238","male","scotland"
"1989",67,"28506","female","scotland"
"1989",68,"51178","total","scotland"
"1989",68,"22330","male","scotland"
"1989",68,"28848","female","scotland"
"1989",69,"52899","total","scotland"
"1989",69,"22759","male","scotland"
"1989",69,"30140","female","scotland"
"1989",70,"36234","total","scotland"
"1989",70,"15179","male","scotland"
"1989",70,"21055","female","scotland"
"1989",71,"34259","total","scotland"
"1989",71,"14201","male","scotland"
"1989",71,"20058","female","scotland"
"1989",72,"35713","total","scotland"
"1989",72,"14836","male","scotland"
"1989",72,"20877","female","scotland"
"1989",73,"36633","total","scotland"
"1989",73,"14737","male","scotland"
"1989",73,"21896","female","scotland"
"1989",74,"37760","total","scotland"
"1989",74,"14969","male","scotland"
"1989",74,"22791","female","scotland"
"1989",75,"36248","total","scotland"
"1989",75,"14025","male","scotland"
"1989",75,"22223","female","scotland"
"1989",76,"34028","total","scotland"
"1989",76,"13102","male","scotland"
"1989",76,"20926","female","scotland"
"1989",77,"31404","total","scotland"
"1989",77,"11824","male","scotland"
"1989",77,"19580","female","scotland"
"1989",78,"29476","total","scotland"
"1989",78,"10641","male","scotland"
"1989",78,"18835","female","scotland"
"1989",79,"27689","total","scotland"
"1989",79,"9694","male","scotland"
"1989",79,"17995","female","scotland"
"1989",80,"25294","total","scotland"
"1989",80,"8540","male","scotland"
"1989",80,"16754","female","scotland"
"1989",81,"22810","total","scotland"
"1989",81,"7368","male","scotland"
"1989",81,"15442","female","scotland"
"1989",82,"19748","total","scotland"
"1989",82,"6158","male","scotland"
"1989",82,"13590","female","scotland"
"1989",83,"17926","total","scotland"
"1989",83,"5204","male","scotland"
"1989",83,"12722","female","scotland"
"1989",84,"15502","total","scotland"
"1989",84,"4359","male","scotland"
"1989",84,"11143","female","scotland"
"1989",85,"13458","total","scotland"
"1989",85,"3594","male","scotland"
"1989",85,"9864","female","scotland"
"1989",86,"11386","total","scotland"
"1989",86,"2888","male","scotland"
"1989",86,"8498","female","scotland"
"1989",87,"9398","total","scotland"
"1989",87,"2250","male","scotland"
"1989",87,"7148","female","scotland"
"1989",88,"7917","total","scotland"
"1989",88,"1664","male","scotland"
"1989",88,"6253","female","scotland"
"1989",89,"6301","total","scotland"
"1989",89,"1186","male","scotland"
"1989",89,"5115","female","scotland"
"1989",90,"17387","total","scotland"
"1989",90,"3154","male","scotland"
"1989",90,"14233","female","scotland"
"1990",0,"63621","total","scotland"
"1990",0,"32541","male","scotland"
"1990",0,"31080","female","scotland"
"1990",1,"64078","total","scotland"
"1990",1,"32794","male","scotland"
"1990",1,"31284","female","scotland"
"1990",2,"66319","total","scotland"
"1990",2,"34184","male","scotland"
"1990",2,"32135","female","scotland"
"1990",3,"65076","total","scotland"
"1990",3,"33208","male","scotland"
"1990",3,"31868","female","scotland"
"1990",4,"65722","total","scotland"
"1990",4,"33647","male","scotland"
"1990",4,"32075","female","scotland"
"1990",5,"64255","total","scotland"
"1990",5,"32657","male","scotland"
"1990",5,"31598","female","scotland"
"1990",6,"62159","total","scotland"
"1990",6,"31822","male","scotland"
"1990",6,"30337","female","scotland"
"1990",7,"63533","total","scotland"
"1990",7,"32460","male","scotland"
"1990",7,"31073","female","scotland"
"1990",8,"64867","total","scotland"
"1990",8,"33045","male","scotland"
"1990",8,"31822","female","scotland"
"1990",9,"66696","total","scotland"
"1990",9,"34281","male","scotland"
"1990",9,"32415","female","scotland"
"1990",10,"65309","total","scotland"
"1990",10,"33296","male","scotland"
"1990",10,"32013","female","scotland"
"1990",11,"63310","total","scotland"
"1990",11,"32674","male","scotland"
"1990",11,"30636","female","scotland"
"1990",12,"59195","total","scotland"
"1990",12,"30169","male","scotland"
"1990",12,"29026","female","scotland"
"1990",13,"58503","total","scotland"
"1990",13,"30150","male","scotland"
"1990",13,"28353","female","scotland"
"1990",14,"63265","total","scotland"
"1990",14,"32373","male","scotland"
"1990",14,"30892","female","scotland"
"1990",15,"64380","total","scotland"
"1990",15,"32735","male","scotland"
"1990",15,"31645","female","scotland"
"1990",16,"65768","total","scotland"
"1990",16,"33515","male","scotland"
"1990",16,"32253","female","scotland"
"1990",17,"70496","total","scotland"
"1990",17,"35965","male","scotland"
"1990",17,"34531","female","scotland"
"1990",18,"75178","total","scotland"
"1990",18,"37910","male","scotland"
"1990",18,"37268","female","scotland"
"1990",19,"80045","total","scotland"
"1990",19,"40285","male","scotland"
"1990",19,"39760","female","scotland"
"1990",20,"80330","total","scotland"
"1990",20,"40299","male","scotland"
"1990",20,"40031","female","scotland"
"1990",21,"82746","total","scotland"
"1990",21,"41800","male","scotland"
"1990",21,"40946","female","scotland"
"1990",22,"84003","total","scotland"
"1990",22,"42132","male","scotland"
"1990",22,"41871","female","scotland"
"1990",23,"83850","total","scotland"
"1990",23,"42574","male","scotland"
"1990",23,"41276","female","scotland"
"1990",24,"81658","total","scotland"
"1990",24,"40901","male","scotland"
"1990",24,"40757","female","scotland"
"1990",25,"84864","total","scotland"
"1990",25,"42443","male","scotland"
"1990",25,"42421","female","scotland"
"1990",26,"83774","total","scotland"
"1990",26,"41565","male","scotland"
"1990",26,"42209","female","scotland"
"1990",27,"82131","total","scotland"
"1990",27,"40834","male","scotland"
"1990",27,"41297","female","scotland"
"1990",28,"81333","total","scotland"
"1990",28,"40731","male","scotland"
"1990",28,"40602","female","scotland"
"1990",29,"80853","total","scotland"
"1990",29,"40188","male","scotland"
"1990",29,"40665","female","scotland"
"1990",30,"79003","total","scotland"
"1990",30,"39530","male","scotland"
"1990",30,"39473","female","scotland"
"1990",31,"77074","total","scotland"
"1990",31,"38251","male","scotland"
"1990",31,"38823","female","scotland"
"1990",32,"74815","total","scotland"
"1990",32,"36828","male","scotland"
"1990",32,"37987","female","scotland"
"1990",33,"72691","total","scotland"
"1990",33,"35747","male","scotland"
"1990",33,"36944","female","scotland"
"1990",34,"71477","total","scotland"
"1990",34,"35653","male","scotland"
"1990",34,"35824","female","scotland"
"1990",35,"68572","total","scotland"
"1990",35,"33946","male","scotland"
"1990",35,"34626","female","scotland"
"1990",36,"68141","total","scotland"
"1990",36,"33815","male","scotland"
"1990",36,"34326","female","scotland"
"1990",37,"66990","total","scotland"
"1990",37,"33297","male","scotland"
"1990",37,"33693","female","scotland"
"1990",38,"64642","total","scotland"
"1990",38,"31866","male","scotland"
"1990",38,"32776","female","scotland"
"1990",39,"66781","total","scotland"
"1990",39,"33202","male","scotland"
"1990",39,"33579","female","scotland"
"1990",40,"67413","total","scotland"
"1990",40,"33596","male","scotland"
"1990",40,"33817","female","scotland"
"1990",41,"70026","total","scotland"
"1990",41,"34779","male","scotland"
"1990",41,"35247","female","scotland"
"1990",42,"73089","total","scotland"
"1990",42,"36338","male","scotland"
"1990",42,"36751","female","scotland"
"1990",43,"79769","total","scotland"
"1990",43,"39688","male","scotland"
"1990",43,"40081","female","scotland"
"1990",44,"61764","total","scotland"
"1990",44,"30835","male","scotland"
"1990",44,"30929","female","scotland"
"1990",45,"59363","total","scotland"
"1990",45,"29527","male","scotland"
"1990",45,"29836","female","scotland"
"1990",46,"61693","total","scotland"
"1990",46,"30681","male","scotland"
"1990",46,"31012","female","scotland"
"1990",47,"60701","total","scotland"
"1990",47,"29883","male","scotland"
"1990",47,"30818","female","scotland"
"1990",48,"57316","total","scotland"
"1990",48,"28083","male","scotland"
"1990",48,"29233","female","scotland"
"1990",49,"54540","total","scotland"
"1990",49,"26571","male","scotland"
"1990",49,"27969","female","scotland"
"1990",50,"56880","total","scotland"
"1990",50,"27713","male","scotland"
"1990",50,"29167","female","scotland"
"1990",51,"57142","total","scotland"
"1990",51,"27840","male","scotland"
"1990",51,"29302","female","scotland"
"1990",52,"57043","total","scotland"
"1990",52,"27839","male","scotland"
"1990",52,"29204","female","scotland"
"1990",53,"56281","total","scotland"
"1990",53,"27160","male","scotland"
"1990",53,"29121","female","scotland"
"1990",54,"55787","total","scotland"
"1990",54,"26960","male","scotland"
"1990",54,"28827","female","scotland"
"1990",55,"55137","total","scotland"
"1990",55,"26561","male","scotland"
"1990",55,"28576","female","scotland"
"1990",56,"54234","total","scotland"
"1990",56,"26213","male","scotland"
"1990",56,"28021","female","scotland"
"1990",57,"53639","total","scotland"
"1990",57,"25697","male","scotland"
"1990",57,"27942","female","scotland"
"1990",58,"55489","total","scotland"
"1990",58,"26397","male","scotland"
"1990",58,"29092","female","scotland"
"1990",59,"55324","total","scotland"
"1990",59,"26236","male","scotland"
"1990",59,"29088","female","scotland"
"1990",60,"54732","total","scotland"
"1990",60,"25651","male","scotland"
"1990",60,"29081","female","scotland"
"1990",61,"53868","total","scotland"
"1990",61,"25310","male","scotland"
"1990",61,"28558","female","scotland"
"1990",62,"52343","total","scotland"
"1990",62,"24452","male","scotland"
"1990",62,"27891","female","scotland"
"1990",63,"52333","total","scotland"
"1990",63,"24288","male","scotland"
"1990",63,"28045","female","scotland"
"1990",64,"52945","total","scotland"
"1990",64,"24595","male","scotland"
"1990",64,"28350","female","scotland"
"1990",65,"50851","total","scotland"
"1990",65,"23383","male","scotland"
"1990",65,"27468","female","scotland"
"1990",66,"50096","total","scotland"
"1990",66,"22863","male","scotland"
"1990",66,"27233","female","scotland"
"1990",67,"48473","total","scotland"
"1990",67,"21640","male","scotland"
"1990",67,"26833","female","scotland"
"1990",68,"50302","total","scotland"
"1990",68,"22406","male","scotland"
"1990",68,"27896","female","scotland"
"1990",69,"49650","total","scotland"
"1990",69,"21454","male","scotland"
"1990",69,"28196","female","scotland"
"1990",70,"51042","total","scotland"
"1990",70,"21710","male","scotland"
"1990",70,"29332","female","scotland"
"1990",71,"34952","total","scotland"
"1990",71,"14453","male","scotland"
"1990",71,"20499","female","scotland"
"1990",72,"32887","total","scotland"
"1990",72,"13434","male","scotland"
"1990",72,"19453","female","scotland"
"1990",73,"34059","total","scotland"
"1990",73,"13953","male","scotland"
"1990",73,"20106","female","scotland"
"1990",74,"34877","total","scotland"
"1990",74,"13785","male","scotland"
"1990",74,"21092","female","scotland"
"1990",75,"35732","total","scotland"
"1990",75,"13899","male","scotland"
"1990",75,"21833","female","scotland"
"1990",76,"34023","total","scotland"
"1990",76,"12907","male","scotland"
"1990",76,"21116","female","scotland"
"1990",77,"31847","total","scotland"
"1990",77,"11984","male","scotland"
"1990",77,"19863","female","scotland"
"1990",78,"29168","total","scotland"
"1990",78,"10711","male","scotland"
"1990",78,"18457","female","scotland"
"1990",79,"27272","total","scotland"
"1990",79,"9574","male","scotland"
"1990",79,"17698","female","scotland"
"1990",80,"25405","total","scotland"
"1990",80,"8660","male","scotland"
"1990",80,"16745","female","scotland"
"1990",81,"23030","total","scotland"
"1990",81,"7541","male","scotland"
"1990",81,"15489","female","scotland"
"1990",82,"20474","total","scotland"
"1990",82,"6409","male","scotland"
"1990",82,"14065","female","scotland"
"1990",83,"17566","total","scotland"
"1990",83,"5253","male","scotland"
"1990",83,"12313","female","scotland"
"1990",84,"15851","total","scotland"
"1990",84,"4425","male","scotland"
"1990",84,"11426","female","scotland"
