ecode,ecode_la_name,ecode_region,ecode_class,ons_code,ons_la_name,ons_region_code,ons_region_name
E1202,Bournemouth UA,SW,UA,E06000028,Bournemouth,E12000009,South West
E1221,Dorset,SW,SC,E10000009,Dorset,E12000009,South West
E1232,Christchurch,SW,SD,E07000048,Christchurch,E12000009,South West
E1233,East Dorset,SW,SD,E07000049,East Dorset,E12000009,South West
E1234,North Dorset,SW,SD,E07000050,North Dorset,E12000009,South West
E1236,Purbeck,SW,SD,E07000051,Purbeck,E12000009,South West
E1237,West Dorset,SW,SD,E07000052,West Dorset,E12000009,South West
E1238,Weymouth & Portland,SW,SD,E07000053,Weymouth and Portland,E12000009,South West
E1301,Darlington UA,NE,UA,E06000005,Darlington,E12000001,North East
E1302,County Durham UA,NE,UA,E06000047,County Durham,E12000001,North East
E1401,Brighton & Hove UA,SE,UA,E06000043,Brighton and Hove,E12000008,South East
E1421,East Sussex,SE,SC,E10000011,East Sussex,E12000008,South East
E1432,Eastbourne,SE,SD,E07000061,Eastbourne,E12000008,South East
E1433,Hastings,SE,SD,E07000062,Hastings,E12000008,South East
E1435,Lewes,SE,SD,E07000063,Lewes,E12000008,South East
E1436,Rother,SE,SD,E07000064,Rother,E12000008,South East
E1437,Wealden,SE,SD,E07000065,Wealden,E12000008,South East
E1501,Southend-on-Sea UA,EE,UA,E06000033,Southend-on-Sea,E12000006,East of England
E1502,Thurrock UA,EE,UA,E06000034,Thurrock,E12000006,East of England
E1521,Essex,EE,SC,E10000012,Essex,E12000006,East of England
E1531,Basildon,EE,SD,E07000066,Basildon,E12000006,East of England
E1532,Braintree,EE,SD,E07000067,Braintree,E12000006,East of England
E1533,Brentwood,EE,SD,E07000068,Brentwood,E12000006,East of England
E1534,Castle Point,EE,SD,E07000069,Castle Point,E12000006,East of England
E1535,Chelmsford,EE,SD,E07000070,Chelmsford,E12000006,East of England
E1536,Colchester,EE,SD,E07000071,Colchester,E12000006,East of England
E1537,Epping Forest,EE,SD,E07000072,Epping Forest,E12000006,East of England
E1538,Harlow,EE,SD,E07000073,Harlow,E12000006,East of England
E1539,Maldon,EE,SD,E07000074,Maldon,E12000006,East of England
E1540,Rochford,EE,SD,E07000075,Rochford,E12000006,East of England
E1542,Tendring,EE,SD,E07000076,Tendring,E12000006,East of England
E1544,Uttlesford,EE,SD,E07000077,Uttlesford,E12000006,East of England
E1620,Gloucestershire,SW,SC,E10000013,Gloucestershire,E12000009,South West
E1631,Cheltenham,SW,SD,E07000078,Cheltenham,E12000009,South West
E1632,Cotswold,SW,SD,E07000079,Cotswold,E12000009,South West
E1633,Forest of Dean,SW,SD,E07000080,Forest of Dean,E12000009,South West
E1634,Gloucester,SW,SD,E07000081,Gloucester,E12000009,South West
E1635,Stroud,SW,SD,E07000082,Stroud,E12000009,South West
E1636,Tewkesbury,SW,SD,E07000083,Tewkesbury,E12000009,South West
E1701,Portsmouth UA,SE,UA,E06000044,Portsmouth,E12000008,South East
E1702,Southampton UA,SE,UA,E06000045,Southampton,E12000008,South East
E1721,Hampshire,SE,SC,E10000014,Hampshire,E12000008,South East
E1731,Basingstoke & Deane,SE,SD,E07000084,Basingstoke and Deane,E12000008,South East
E1732,East Hampshire,SE,SD,E07000085,East Hampshire,E12000008,South East
